skill,
*,
*,
JavaScript,
JQuery,
PHP,
MySQL,
HTML,
CSS,
Bootstrap,
*,
*,
AngularJS,
AJAX,
Gulp,
Sass,
WordPress,
D3,
C#,
C/C++,
NodeJS,
Confluence,
TDD,
*,
Trello,
Pythos,
MongoDB,
Agile,
JSX,
React,
Redux,
Expect,
WPEngine,
*,
*,
*,
MVC,
Foundation,
Git,
Saas,
ES6,
Crossfilter,
Android,
*,
*,
